standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide
Cc1cccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cccc(Cl)c5)CC4)ncnc32)c1,0.6645665287560436,HIT103127488,Cc1cccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cccc(Cl)c5)CC4)ncnc32)c1,-9.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:38989,Cc1cccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cccc(Cl)c5)CC4)ncnc32)c1,-6.26128
Cc1cccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2coc3cc(C)cc(C)c23)c1,1.296856258192004,HIT103671782,Cc1cccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2coc3cc(C)cc(C)c23)c1,-9.2,ligprep_chemdiv-stock1_01_400000_split-10_9.sdf:27742,Cc1cccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2coc3cc(C)cc(C)c23)c1,-6.0139
O=C(NCCc1ccccc1)c1cccn2c(=O)c3cc4ccccc4cc3nc12,1.0848057709408934,HIT107438819,O=C(NCCc1ccccc1)c1cccn2c(=O)c3cc4ccccc4cc3nc12,-9.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:36316,O=C(NCCc1ccccc1)c1cccn2c(=O)c3cc4ccccc4cc3nc12,-6.09356
Cc1ccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cc(C)ccc5C)CC4)ncnc32)cc1,1.8071637945349,HIT107544173,Cc1ccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cc(C)ccc5C)CC4)ncnc32)cc1,-9.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:39048,Cc1ccc(-n2cc(-c3ccccc3)c3c(N4CCN(c5cc(C)ccc5C)CC4)ncnc32)cc1,-5.93177
c1nnn(C23CC4CC(CC(c5nc6c7c8c(sc7ncn6n5)CCC8)(C4)C2)C3)n1,0.7134591296400004,HIT107579971,c1nnn(C23CC4CC(CC(c5nc6c7c8c(sc7ncn6n5)CCC8)(C4)C2)C3)n1,-9.2,ligprep_chemdiv-stock1_04_414266_split-10_7.sdf:14902,c1nnn([C@@]23C[C@@H]4C[C@@H](C[C@@](c5nc6c7c8c(sc7ncn6n5)CCC8)(C4)C2)C3)n1,-6.13171
O=C1C2N=NN(CC(=O)N3N=C(c4ccc(Br)cc4)CC3c3ccccc3)C2C(=O)N1c1cccc(F)c1,1.574676360900535,HIT102268390,O=C1C2N=NN(CC(=O)N3N=C(c4ccc(Br)cc4)CC3c3ccccc3)C2C(=O)N1c1cccc(F)c1,-9.1,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:10055,O=C1[C@@H]2[C@@H](N=NN2CC(=O)N2N=C(c3ccc(Br)cc3)C[C@@H]2c2ccccc2)C(=O)N1c1cccc(F)c1,-6.87964
COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccc(C)cc3-c3cc(C)nn32)cc1OC,0.37065711655862577,HIT102420355,COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccc(C)cc3-c3cc(C)nn32)cc1OC,-9.1,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:26190,COc1ccc(-c2nn(-c3ccccc3)cc2[C@H]2Nc3ccc(C)cc3-c3cc(C)nn32)cc1OC,-6.45742
OC1=C2C(=Nc3ccccc3SC2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,1.6129097333518625,HIT102865967,OC1=C2C(=Nc3ccccc3SC2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,-9.1,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:10392,OC1=C2C(=Nc3ccccc3S[C@H]2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,-6.30384
OC1=C2C(=Nc3ccccc3SC2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,1.6129097333518625,HIT102865967,OC1=C2C(=Nc3ccccc3SC2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,-9.1,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:6525,OC1=C2C(=Nc3ccccc3S[C@H]2c2cccc(OCc3ccc(F)cc3)c2)c2ccccc21,-6.15427
Cn1c(=O)[nH]c(=O)c2c1nc1oc(-c3ccc(-c4ccccc4)cc3)c(-c3ccccc3)n12,1.101588411285625,HIT104345937,Cn1c(=O)[nH]c(=O)c2c1nc1oc(-c3ccc(-c4ccccc4)cc3)c(-c3ccccc3)n12,-9.1,ligprep_chemdiv-stock1_01_400000_split-10_5.sdf:16917,Cn1c(=O)[nH]c(=O)c2c1nc1oc(-c3ccc(-c4ccccc4)cc3)c(-c3ccccc3)n12,-5.92651
